transition_id,team_raw,team,player_raw,player_id,status_before,status_after,reason_after,t_lower_utc_bound,t_upper_utc_bound,poll_interval_event,censor_type,tier,prev_capture_id,curr_capture_id
cap_20260807T030658585857_3,Indiana Fever,Indiana Fever,Michelle Onyiah,,,Out,Coach's Decision,,2026-08-07T03:07:08.623567+00:00,PT15M,interval,T0,,cap_20260807T030658585857
cap_20260807T030708727383_0,Las Vegas Aces,Las Vegas Aces,Dana Evans,1630389,Questionable,Available,Injury/Illness - N/a; illness,2026-08-07T03:07:08.623567+00:00,2026-08-07T03:07:18.772669+00:00,PT15M,interval,T0,cap_20260807T030658585857,cap_20260807T030708727383
cap_20260807T030809647578_0,Minnesota Lynx,Minnesota Lynx,Liatu King,1642820,,Out,Coach's Decision,,2026-08-07T03:08:19.695134+00:00,PT15M,interval,T0,,cap_20260807T030809647578
cap_20260807T030819821205_0,Los Angeles Sparks,Los Angeles Sparks,Ariel Atkins,1628878,Probable,Available,-,2026-08-07T03:08:19.695134+00:00,2026-08-07T03:08:29.854511+00:00,PT15M,interval,T0,cap_20260807T030809647578,cap_20260807T030819821205
cap_20260807T030819821205_1,Los Angeles Sparks,Los Angeles Sparks,Tonie Morgan,,,Out,Coach's Decision - Coach's Decision,,2026-08-07T03:08:29.854511+00:00,PT15M,interval,T0,,cap_20260807T030819821205
cap_20260807T030819821205_2,Los Angeles Sparks,Los Angeles Sparks,Alissa Pili,1642293,,Out,Coach's Decision - Coach's Decision,,2026-08-07T03:08:29.854511+00:00,PT15M,interval,T0,,cap_20260807T030819821205
cap_20260807T030829972619_0,Portland Fire,Portland Fire,Bridget Carleton,1629524,Probable,Available,Injury/Illness - Right Foot; Injury,2026-08-07T03:08:29.854511+00:00,2026-08-07T03:08:40.019266+00:00,PT15M,interval,T0,cap_20260807T030819821205,cap_20260807T030829972619
cap_20260807T030829972619_1,Portland Fire,Portland Fire,Teja Oblak,1643506,Doubtful,Out,Injury/Illness - Left Knee; Injury,2026-08-07T03:08:29.854511+00:00,2026-08-07T03:08:40.019266+00:00,PT15M,interval,T0,cap_20260807T030819821205,cap_20260807T030829972619
cap_20260807T030941063799_0,Toronto Tempo,Toronto Tempo,Ornella Bankole,1643706,,Out,Coach's Decision,,2026-08-07T03:09:51.095675+00:00,PT15M,interval,T0,,cap_20260807T030941063799
cap_20260807T041202595062_rm_0,Las Vegas Aces,Las Vegas Aces,Dana Evans,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_1,Las Vegas Aces,Las Vegas Aces,Cheyenne Parker-Tyus,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_2,Indiana Fever,Indiana Fever,Aliyah Boston,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_3,Indiana Fever,Indiana Fever,Caitlin Clark,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_4,Indiana Fever,Indiana Fever,Damiris Dantas,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_5,Los Angeles Sparks,Los Angeles Sparks,Ariel Atkins,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_6,Minnesota Lynx,Minnesota Lynx,Chloe Bibby,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_7,Toronto Tempo,Toronto Tempo,Marina Mabrey,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_8,Toronto Tempo,Toronto Tempo,Brittney Sykes,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_9,Portland Fire,Portland Fire,Sarah Ashlee Barker,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_10,Portland Fire,Portland Fire,Bridget Carleton,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_11,Portland Fire,Portland Fire,Sania Feagin,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_12,Portland Fire,Portland Fire,Teja Oblak,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_13,Indiana Fever,Indiana Fever,Bree Hall,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_14,Indiana Fever,Indiana Fever,Michelle Onyiah,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_15,Minnesota Lynx,Minnesota Lynx,Liatu King,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_16,Los Angeles Sparks,Los Angeles Sparks,Tonie Morgan,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_17,Los Angeles Sparks,Los Angeles Sparks,Alissa Pili,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T041202595062_rm_18,Toronto Tempo,Toronto Tempo,Ornella Bankole,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:12:14.626748+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T041202595062
cap_20260807T042702479149_rm_0,Las Vegas Aces,Las Vegas Aces,Dana Evans,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_1,Las Vegas Aces,Las Vegas Aces,Cheyenne Parker-Tyus,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_2,Indiana Fever,Indiana Fever,Aliyah Boston,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_3,Indiana Fever,Indiana Fever,Caitlin Clark,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_4,Indiana Fever,Indiana Fever,Damiris Dantas,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_5,Los Angeles Sparks,Los Angeles Sparks,Ariel Atkins,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_6,Minnesota Lynx,Minnesota Lynx,Chloe Bibby,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_7,Toronto Tempo,Toronto Tempo,Marina Mabrey,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_8,Toronto Tempo,Toronto Tempo,Brittney Sykes,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_9,Portland Fire,Portland Fire,Sarah Ashlee Barker,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_10,Portland Fire,Portland Fire,Bridget Carleton,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_11,Portland Fire,Portland Fire,Sania Feagin,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_12,Portland Fire,Portland Fire,Teja Oblak,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_13,Indiana Fever,Indiana Fever,Bree Hall,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_14,Indiana Fever,Indiana Fever,Michelle Onyiah,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_15,Minnesota Lynx,Minnesota Lynx,Liatu King,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_16,Los Angeles Sparks,Los Angeles Sparks,Tonie Morgan,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_17,Los Angeles Sparks,Los Angeles Sparks,Alissa Pili,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T042702479149_rm_18,Toronto Tempo,Toronto Tempo,Ornella Bankole,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:27:15.964651+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T042702479149
cap_20260807T044202627798_rm_0,Las Vegas Aces,Las Vegas Aces,Dana Evans,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_1,Las Vegas Aces,Las Vegas Aces,Cheyenne Parker-Tyus,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_2,Indiana Fever,Indiana Fever,Aliyah Boston,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_3,Indiana Fever,Indiana Fever,Caitlin Clark,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_4,Indiana Fever,Indiana Fever,Damiris Dantas,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_5,Los Angeles Sparks,Los Angeles Sparks,Ariel Atkins,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_6,Minnesota Lynx,Minnesota Lynx,Chloe Bibby,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_7,Toronto Tempo,Toronto Tempo,Marina Mabrey,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_8,Toronto Tempo,Toronto Tempo,Brittney Sykes,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_9,Portland Fire,Portland Fire,Sarah Ashlee Barker,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_10,Portland Fire,Portland Fire,Bridget Carleton,,Available,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_11,Portland Fire,Portland Fire,Sania Feagin,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_12,Portland Fire,Portland Fire,Teja Oblak,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_13,Indiana Fever,Indiana Fever,Bree Hall,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_14,Indiana Fever,Indiana Fever,Michelle Onyiah,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_15,Minnesota Lynx,Minnesota Lynx,Liatu King,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_16,Los Angeles Sparks,Los Angeles Sparks,Tonie Morgan,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
cap_20260807T044202627798_rm_17,Los Angeles Sparks,Los Angeles Sparks,Alissa Pili,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-07T03:57:15.880769+00:00,2026-08-07T04:42:14.656995+00:00,PT15M,interval,T0,cap_20260807T035702542117,cap_20260807T044202627798
