capture_utc,report_date,game_date,team,player,status,reason,source
20260730T155016Z,2026-07-30,,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion,espn
20260730T155016Z,2026-07-30,,Las Vegas Aces,NaLyssa Smith,Day-To-Day,Undisclosed,espn
20260730T155016Z,2026-07-30,,Las Vegas Aces,Janiah Barker,Out,Right Leg,espn
20260730T155016Z,2026-07-30,,Los Angeles Sparks,Kelsey Plum,Out,Left Lower Leg,espn
20260730T155016Z,2026-07-30,,Minnesota Lynx,Emma Cechova,Out,Right Knee (Surgery),espn
20260730T155016Z,2026-07-30,,New York Liberty,Satou Sabally,Out,Concussion,espn
20260730T155016Z,2026-07-30,,New York Liberty,Marine Johannes,Out,Left Ankle,espn
20260730T155016Z,2026-07-30,,New York Liberty,Leonie Fiebich,Out,Left Foot,espn
20260730T155016Z,2026-07-30,,Phoenix Mercury,Shay Ciezki,Out,Coach's Decision,espn
20260730T155016Z,2026-07-30,,Phoenix Mercury,Kara Dunn,Out,Coach's Decision,espn
20260730T155016Z,2026-07-30,,Phoenix Mercury,Jovana Nogic,Out,Not Injury Related,espn
20260730T155016Z,2026-07-30,,Portland Fire,Sarah Ashlee Barker,Out,Left Knee (Surgery),espn
20260730T155016Z,2026-07-30,,Portland Fire,Sania Feagin,Out,Left Knee,espn
20260730T155016Z,2026-07-30,,Seattle Storm,Dominique Malonga,Out,Back (Not Specified),espn
20260730T155016Z,2026-07-30,,Seattle Storm,Taina Mair,Out,Not Injury Related,espn
20260730T155016Z,2026-07-30,,Seattle Storm,Ezi Magbegor,Out,Nose (Fracture),espn
20260730T155016Z,2026-07-30,,Toronto Tempo,Nyara Sabally,Out,Ribs,espn
20260730T155016Z,2026-07-30,,Toronto Tempo,Isabelle Harrison,Day-To-Day,Left Knee (Soreness),espn
20260730T155016Z,2026-07-30,,Toronto Tempo,Brittney Sykes,Out,Foot,espn
20260730T155016Z,2026-07-30,,Washington Mystics,Darianna Littlepage-Buggs,Out,Coach's Decision,espn
20260730T155248Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Questionable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T155248Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Questionable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T155418Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Questionable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T160001Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Questionable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T170002Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Minnesota Lynx,Dorka Juhasz,Questionable,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Probable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T180007Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Minnesota Lynx,Dorka Juhasz,Questionable,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Probable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Questionable,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T190002Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Minnesota Lynx,Dorka Juhasz,Questionable,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Probable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Available,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T200002Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Minnesota Lynx,Dorka Juhasz,Questionable,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Probable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Available,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T210002Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T210002Z,2026-07-30,2026-07-31,Seattle Storm,Taina Mair,Out,Coach's Decision - Coach's Decision,wnba_official
20260730T210002Z,2026-07-30,2026-07-31,Seattle Storm,Dominique Malonga,Probable,Injury/Illness - Back; Injury/Illness,wnba_official
20260730T210002Z,2026-07-30,2026-07-31,Atlanta Dream,Te-Hina Paopao,Out,Injury/Illness - Right Leg; N/A,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Connecticut Sun,Brittney Griner,Out,Injury/Illness - Left Knee; -,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Chicago Sky,DiJonai Carrington,Questionable,Injury/Illness - Left Foot; Left Foot,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Chicago Sky,Skylar Diggins,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Chicago Sky,Azura Stevens,Out,Personal Reasons,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Minnesota Lynx,Emma Cechova,Out,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Minnesota Lynx,Dorka Juhasz,Questionable,Injury/Illness - Right Knee; Right Knee,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Toronto Tempo,Isabelle Harrison,Questionable,Injury/Illness - Left Knee; Injury,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Toronto Tempo,Nyara Sabally,Probable,Injury/Illness - Rib Cage; Injury,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Toronto Tempo,Brittney Sykes,Out,Injury/Illness - Left Foot; Injury,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,New York Liberty,Leonie Fiebich,Out,Injury/Illness - Left Foot; L. Foot,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,New York Liberty,Marine Johannes,Available,Injury/Illness - Left Ankle; L. Ankle,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,New York Liberty,Satou Sabally,Out,Concussion Protocol,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Las Vegas Aces,Kierstan Bell,Doubtful,Injury/Illness - Right Leg; R. Leg,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,Out,Concussion Protocol,wnba_official
20260730T220001Z,2026-07-30,2026-07-30,Las Vegas Aces,NaLyssa Smith,Questionable,Injury/Illness - N/a; Illness,wnba_official
20260730T220001Z,2026-07-30,2026-07-31,Seattle Storm,Taina Mair,Out,Coach's Decision - Coach's Decision,wnba_official
20260730T220001Z,2026-07-30,2026-07-31,Seattle Storm,Dominique Malonga,Probable,Injury/Illness - Back; Injury/Illness,wnba_official
20260730T220001Z,2026-07-30,2026-07-31,Atlanta Dream,Te-Hina Paopao,Out,Injury/Illness - Right Leg; N/A,wnba_official
20260730T230001Z,2026-07-30,2026-07-30,Connecticut Sun,Aaliyah Edwards,Out,Injury/Illness - Right Knee; -,wnba_official
